#Create Time :2023-04-12 16:23:08.172466 
87154.655695 9.022101 0.778072 -4.124648
87154.660639 9.007672 0.726933 -4.140691
87154.665583 9.013976 0.680167 -4.120753
87154.670526 9.061648 0.655166 -4.121729
87154.675470 9.062183 0.591928 -4.144653
87154.680414 9.061094 0.555565 -4.131181
87154.685358 9.088535 0.557682 -4.111945
87154.690271 9.065812 0.579396 -4.100582
87154.695215 9.040752 0.634793 -4.044952
87154.700159 9.036105 0.655743 -4.006351
87154.705072 9.022741 0.683055 -3.998567
87154.709986 9.044739 0.654719 -4.022267
87154.714930 9.071817 0.652661 -4.027537
87154.719873 9.114124 0.692898 -4.013067
87154.724787 9.100945 0.685066 -4.086388
87154.729609 9.118768 0.730345 -4.104807
87154.734644 9.086107 0.774737 -4.071834
87154.739618 9.063929 0.778318 -4.055196
87154.744562 9.078734 0.773091 -4.081286
87154.749506 9.076407 0.760463 -4.069098
87154.754450 9.049052 0.766116 -4.122401
87154.759394 9.048932 0.748688 -4.167147
87154.764338 9.060125 0.730325 -4.184748
87154.769281 9.074775 0.719983 -4.240765
87154.774225 9.065747 0.744801 -4.254871
87154.779169 9.000544 0.756741 -4.283166
87154.784082 9.004440 0.755846 -4.281887
87154.789026 8.988301 0.783755 -4.264762
87154.793970 8.977728 0.767601 -4.308172
87154.798914 8.967616 0.770419 -4.274231
87154.803858 8.969298 0.803210 -4.293262
87154.808802 8.947492 0.816854 -4.302245
87154.813715 8.915981 0.806207 -4.295766
87154.818659 8.962600 0.849040 -4.271429
87154.823603 9.033645 0.868842 -4.218482
87154.828760 8.971537 0.832399 -4.268927
87154.833796 8.935573 0.908596 -4.261313
87154.838800 8.895373 0.924894 -4.221262
87154.843866 8.934488 0.877422 -4.227641
87154.848902 9.026261 0.794533 -4.192578
87154.853876 9.165764 0.617606 -4.189249
87154.858820 9.234639 0.544251 -4.204292
87154.863764 9.204380 0.525161 -4.239919
87154.868677 9.170969 0.527485 -4.217469
87154.873590 9.135984 0.536040 -4.253975
87154.878504 9.141118 0.541452 -4.165123
87154.883417 9.150674 0.555467 -4.067801
87154.888330 9.148894 0.518443 -4.059834
87154.893244 9.112035 0.491666 -4.074432
87154.898157 9.079949 0.454481 -4.084353
87154.903070 9.098023 0.431377 -4.138751
87154.907984 9.082971 0.423600 -4.125277
87154.912897 9.034803 0.410591 -4.099274
87154.917810 9.042667 0.450178 -4.120754
87154.922724 9.085572 0.403598 -4.115924
87154.927576 9.087752 0.408089 -4.118191
87154.932642 9.082318 0.426541 -4.164461
87154.937464 9.076349 0.422948 -4.189375
87154.942347 9.092218 0.394212 -4.174491
87154.947321 9.116967 0.423859 -4.220893
87154.952265 9.066762 0.474521 -4.240056
